id,title,department,required_skills,experience_level,min_experience_years
65,"Mobile Developer","Product","{AWS,React,Go,Affinity}",Lead,10
66,"DevOps Specialist","Design","{Vue.js,Terraform,Photoshop,TensorFlow,Python}",Mid,4
67,"Data Scientist","Marketing","{AWS,Python,TypeScript,Docker,Data Bricks}",Lead,9
68,"Data Scientist","Developer","{Vue.js,Blender,GraphQL,Sass,Kubernetes,Figma}",Senior,7
69,"Frontend Engineer","Infrastructure","{Python,Next.js,Tailwind CSS,Photoshop,React}",Lead,11
70,"AI & ML Engineer","Engineering","{Python,Node.js,Docker}",Lead,9
71,"Full Stack Engineer","Developer","{React,Next.js,Figma}",Senior,6
72,"UI/UX Designer","Design","{GSAP,Pandas,After Effects}",Lead,10
73,"Full Stack Engineer","Developer","{Docker,Vue.js,Kubernetes,Next.js,Python,Affinity}",Mid,4
74,"Game Developer","Marketing","{Kubernetes,After Effects,GSAP,Framer,React}",Junior,1
75,"Game Developer","Developer","{Blender,Data Bricks,Python,Terraform}",Junior,1
76,"Tester","Marketing","{Framer,Pandas,Vue.js,React}",Lead,9
77,"Tester","Marketing","{Vue.js,Data Bricks,Python,TypeScript,After Effects}",Junior,0
78,"Game Developer","Data & AI","{Pandas,Figma,React}",Mid,4
79,"AI & ML Engineer","Infrastructure","{Figma,React,Blender}",Senior,6
80,"Frontend Engineer","Engineering","{Next.js,TypeScript,Data Bricks,Blender,Framer}",Senior,5
81,"Mobile Developer","Product","{Docker,Tailwind CSS,Photoshop,Affinity}",Junior,1
82,"Backend Developer","Design","{Affinity,Blender,Tailwind CSS,Framer}",Lead,11
83,"Site Reliability Engineer","Engineering","{Python,Blender,Vue.js,Framer}",Senior,7
84,"Tester","Developer","{After Effects,Blender,PostgreSQL,Affinity,GSAP}",Mid,4
85,"Mobile Developer","Infrastructure","{GraphQL,Vue.js,React,Terraform}",Lead,9
86,"Full Stack Engineer","Data & AI","{Vue.js,Python,Blender,Sass}",Mid,4
87,"AI & ML Engineer","Data & AI","{Sass,Figma,React,Data Bricks}",Junior,1
88,"UI/UX Designer","Developer","{Node.js,Terraform,Blender,Sass,TensorFlow,After Effects}",Lead,10
89,"AI & ML Engineer","Data & AI","{Redis,Kubernetes,After Effects,Tailwind CSS,Docker,Framer}",Lead,11
90,"Full Stack Engineer","Infrastructure","{Blender,Vue.js,After Effects,Python,Redis,Node.js}",Junior,0
91,"Data Scientist","Design","{GSAP,Photoshop,GraphQL,Framer,After Effects}",Mid,3
92,"Game Developer","Marketing","{Docker,Sass,GraphQL}",Junior,0
93,"Frontend Engineer","Product","{After Effects,Docker,Next.js,Data Bricks,Figma,GraphQL}",Senior,6
94,"Frontend Engineer","Product","{Python,Kubernetes,After Effects,Tailwind CSS}",Senior,5
95,"DevOps Specialist","Infrastructure","{React,Next.js,Figma,Node.js,TensorFlow}",Senior,5
96,"Backend Developer","Engineering","{React,Terraform,Photoshop,GSAP}",Senior,7
97,"Frontend Engineer","Marketing","{Pandas,Docker,After Effects}",Senior,7
98,"UI/UX Designer","Infrastructure","{GSAP,Python,Go,Node.js,Photoshop,After Effects}",Mid,2
99,"UI/UX Designer","Marketing","{AWS,TypeScript,Kubernetes,Docker,Photoshop}",Junior,0
100,"Full Stack Engineer","Design","{AWS,TypeScript,TensorFlow,Redis,Go}",Lead,11
101,"Game Developer","Product","{Terraform,Vue.js,Docker,AWS,Go,Blender}",Junior,1
102,"UI/UX Designer","Engineering","{Tailwind CSS,Framer,Affinity}",Senior,7
103,"Full Stack Engineer","Design","{Node.js,Blender,Next.js,Docker}",Junior,0
104,"Game Developer","Data & AI","{GSAP,Vue.js,TensorFlow}",Senior,7
105,"Site Reliability Engineer","Infrastructure","{Next.js,Kubernetes,After Effects,React,Python,Sass}",Senior,6
106,"Data Scientist","Data & AI","{TypeScript,Vue.js,GSAP,Sass}",Senior,6
107,"UI/UX Designer","Developer","{Docker,TypeScript,Kubernetes}",Senior,6
108,"Tester","Developer","{Data Bricks,Photoshop,GSAP,Tailwind CSS,Redis}",Junior,1
109,"Mobile Developer","Developer","{Sass,Pandas,Framer,AWS}",Junior,0
110,"AI & ML Engineer","Marketing","{GraphQL,Next.js,Framer,Tailwind CSS,GSAP}",Lead,11
111,"Mobile Developer","Infrastructure","{Data Bricks,React,TensorFlow,Go,AWS}",Lead,8
112,"Site Reliability Engineer","Infrastructure","{PostgreSQL,GraphQL,Python}",Junior,0
113,"UI/UX Designer","Engineering","{Python,GSAP,Tailwind CSS,Node.js,Next.js}",Mid,2
114,"UI/UX Designer","Engineering","{Python,Terraform,GraphQL,Docker}",Junior,0
115,"Tester","Design","{Framer,Photoshop,Next.js,Pandas,Tailwind CSS}",Junior,0
116,"Frontend Engineer","Marketing","{GraphQL,React,Pandas}",Mid,3
117,"Tester","Developer","{AWS,Node.js,Pandas}",Lead,8
118,"AI & ML Engineer","Data & AI","{React,Go,Redis,Next.js,Kubernetes}",Senior,6
119,"Frontend Engineer","Marketing","{Figma,TypeScript,Node.js,Redis,Affinity,Sass}",Junior,1
120,"Mobile Developer","Engineering","{GSAP,TypeScript,Affinity,Pandas,Docker}",Lead,8
121,"Game Developer","Developer","{Affinity,Next.js,Redis,Tailwind CSS,Framer}",Junior,1
122,"Site Reliability Engineer","Design","{Vue.js,React,TypeScript,GraphQL,Python}",Junior,0
123,"Tester","Engineering","{Docker,TensorFlow,Vue.js,GSAP}",Lead,11
124,"AI & ML Engineer","Developer","{Python,Vue.js,Photoshop,GraphQL,Terraform}",Senior,6
125,"Tester","Developer","{Data Bricks,Python,TensorFlow,Kubernetes,PostgreSQL}",Lead,9
126,"AI & ML Engineer","Design","{Framer,Node.js,Terraform}",Mid,2
127,"Mobile Developer","Developer","{AWS,Kubernetes,Photoshop,Pandas,PostgreSQL,Python}",Lead,9
128,"Tester","Marketing","{Blender,After Effects,React,Node.js,Sass,Tailwind CSS}",Junior,1
129,"AI & ML Engineer","Marketing","{Photoshop,Terraform,AWS,Sass}",Lead,9
130,"AI & ML Engineer","Engineering","{Python,PostgreSQL,GSAP,After Effects,Photoshop,Blender}",Lead,10
131,"Backend Developer","Product","{Next.js,Blender,Vue.js,PostgreSQL}",Senior,7
132,"Site Reliability Engineer","Developer","{Pandas,PostgreSQL,Vue.js,Terraform,Docker,Sass}",Senior,5
133,"UI/UX Designer","Infrastructure","{React,Framer,Next.js,Data Bricks,Node.js}",Lead,9
134,"Frontend Engineer","Data & AI","{GraphQL,Kubernetes,Sass,Photoshop,After Effects}",Lead,10
135,"AI & ML Engineer","Product","{AWS,Sass,After Effects}",Junior,1
136,"Site Reliability Engineer","Marketing","{Next.js,React,AWS}",Senior,7
137,"Full Stack Engineer","Data & AI","{GSAP,Affinity,AWS,GraphQL,Terraform,Redis}",Junior,0
138,"Full Stack Engineer","Infrastructure","{Pandas,Next.js,Tailwind CSS,Blender}",Lead,9
139,"DevOps Specialist","Data & AI","{Framer,Sass,GraphQL,Next.js,Python,Kubernetes}",Junior,1
140,"DevOps Specialist","Design","{Pandas,Node.js,Terraform,React,Tailwind CSS,Blender}",Lead,10
141,"Backend Developer","Engineering","{Python,Pandas,Kubernetes,Docker}",Junior,1
142,"DevOps Specialist","Product","{Kubernetes,Next.js,React}",Senior,5
143,"Full Stack Engineer","Infrastructure","{Next.js,Vue.js,Framer,Sass}",Mid,4
144,"Data Scientist","Product","{Photoshop,Node.js,Next.js}",Mid,2
145,"Frontend Engineer","Engineering","{Docker,AWS,React,Go,Photoshop,PostgreSQL}",Junior,1
146,"DevOps Specialist","Design","{Kubernetes,Blender,Pandas,React}",Senior,5
147,"Tester","Product","{Next.js,Redis,After Effects,Figma}",Junior,1
148,"Game Developer","Infrastructure","{Docker,Tailwind CSS,GSAP,React,Go,TensorFlow}",Junior,0
149,"Site Reliability Engineer","Infrastructure","{Sass,Framer,Redis,AWS,Next.js,Go}",Junior,1
150,"Full Stack Engineer","Infrastructure","{GraphQL,Photoshop,Next.js,Tailwind CSS,GSAP}",Senior,7
151,"AI & ML Engineer","Engineering","{After Effects,Kubernetes,Vue.js,TensorFlow,Sass,Figma}",Lead,11
152,"Frontend Engineer","Data & AI","{React,TypeScript,Docker,Python,Vue.js}",Junior,0
153,"DevOps Specialist","Data & AI","{Data Bricks,Docker,Terraform,GraphQL,Figma}",Junior,0
154,"Mobile Developer","Developer","{Docker,Python,Redis,Node.js}",Lead,11
155,"Tester","Engineering","{Terraform,Framer,Pandas,Go,Redis}",Lead,8
156,"DevOps Specialist","Engineering","{React,Next.js,Node.js}",Mid,4
157,"Data Scientist","Engineering","{Vue.js,Sass,Data Bricks,After Effects,Next.js}",Senior,7
158,"Game Developer","Design","{TypeScript,Docker,Redis}",Mid,3
159,"UI/UX Designer","Infrastructure","{Node.js,Sass,After Effects,Kubernetes}",Junior,1
160,"UI/UX Designer","Product","{Vue.js,GSAP,After Effects}",Senior,7
161,"Data Scientist","Marketing","{TypeScript,Docker,Framer,Pandas,Redis,Photoshop}",Senior,6
162,"Data Scientist","Marketing","{After Effects,Kubernetes,Vue.js,React}",Lead,11
163,"AI & ML Engineer","Developer","{React,Next.js,TensorFlow,Pandas,Go}",Senior,5
164,"Full Stack Engineer","Product","{Affinity,TypeScript,Kubernetes}",Junior,1
165,"Frontend Engineer","Engineering","{PostgreSQL,Tailwind CSS,GraphQL,Sass}",Senior,5
166,"Frontend Engineer","Infrastructure","{Kubernetes,Vue.js,Terraform,TensorFlow,React,Redis}",Junior,0
167,"Full Stack Engineer","Data & AI","{After Effects,Next.js,GraphQL,Data Bricks,Python,Framer}",Mid,4
168,"Data Scientist","Marketing","{AWS,React,After Effects,Blender,Next.js,Node.js}",Senior,7
169,"Full Stack Engineer","Engineering","{TensorFlow,TypeScript,Terraform,Go,Framer}",Junior,1
170,"Tester","Engineering","{Node.js,Framer,Affinity,GSAP,TypeScript}",Senior,5
171,"Frontend Engineer","Infrastructure","{Data Bricks,Python,Docker,Next.js,Figma}",Senior,5
172,"Backend Developer","Infrastructure","{GSAP,Kubernetes,TypeScript,Figma,PostgreSQL}",Lead,10
173,"Frontend Engineer","Developer","{GraphQL,React,After Effects,Go}",Mid,2
174,"Game Developer","Engineering","{Photoshop,Go,Python,React,Tailwind CSS}",Lead,10
175,"UI/UX Designer","Design","{Kubernetes,Vue.js,Affinity,React,Next.js}",Lead,8
176,"UI/UX Designer","Data & AI","{TensorFlow,Framer,TypeScript,React,Redis,Blender}",Lead,8
177,"UI/UX Designer","Infrastructure","{Vue.js,Figma,After Effects,Sass,Docker,React}",Junior,0
178,"Full Stack Engineer","Developer","{Data Bricks,Framer,Node.js,TypeScript,Docker,Next.js}",Junior,0
179,"UI/UX Designer","Data & AI","{Vue.js,Go,Framer,Photoshop,AWS}",Junior,1
180,"Data Scientist","Developer","{Docker,Node.js,AWS,GraphQL,Sass,Python}",Lead,9
181,"Tester","Data & AI","{React,Blender,TensorFlow}",Lead,11
182,"UI/UX Designer","Developer","{Vue.js,Terraform,After Effects}",Senior,7
183,"Game Developer","Marketing","{TypeScript,Redis,Docker,Kubernetes}",Lead,8
184,"Data Scientist","Infrastructure","{PostgreSQL,Redis,TypeScript}",Mid,3
185,"Site Reliability Engineer","Design","{React,Tailwind CSS,AWS,Vue.js,Data Bricks,Redis}",Junior,1
186,"Tester","Design","{Go,Data Bricks,React,Next.js,Tailwind CSS,Sass}",Senior,7
187,"Mobile Developer","Infrastructure","{GSAP,Framer,After Effects,Affinity}",Senior,7
188,"Tester","Data & AI","{Docker,Sass,Node.js,Kubernetes}",Mid,4
189,"Mobile Developer","Infrastructure","{Go,Redis,Docker,After Effects,GSAP,TensorFlow}",Junior,0
190,"AI & ML Engineer","Data & AI","{Kubernetes,Terraform,Tailwind CSS,Data Bricks,Next.js}",Mid,3
191,"DevOps Specialist","Engineering","{TypeScript,Kubernetes,AWS,Pandas,Framer}",Lead,8
192,"DevOps Specialist","Marketing","{AWS,GraphQL,After Effects,Python,Redis,Next.js}",Senior,7
193,"Site Reliability Engineer","Data & AI","{PostgreSQL,Go,After Effects,GraphQL,Terraform,React}",Mid,2
194,"UI/UX Designer","Developer","{Terraform,Node.js,Affinity,Blender,Data Bricks,Kubernetes}",Mid,4
195,"Mobile Developer","Design","{Pandas,Go,Kubernetes,TypeScript}",Mid,4
196,"Full Stack Engineer","Design","{Kubernetes,Pandas,AWS,Vue.js}",Junior,0
197,"UI/UX Designer","Data & AI","{TypeScript,React,Pandas}",Lead,11
198,"Backend Developer","Data & AI","{Python,TypeScript,Tailwind CSS,Node.js,React,After Effects}",Junior,1
199,"Backend Developer","Data & AI","{Next.js,Python,Redis,Kubernetes,Data Bricks,AWS}",Lead,9
200,"Frontend Engineer","Developer","{Tailwind CSS,Redis,React}",Lead,8
201,"Game Developer","Engineering","{Python,Data Bricks,TypeScript,GSAP}",Lead,10
202,"Backend Developer","Infrastructure","{Terraform,AWS,Redis,Framer,Python,TypeScript}",Senior,7
203,"UI/UX Designer","Product","{Terraform,Node.js,GraphQL,Next.js}",Lead,11
204,"Tester","Design","{Go,Python,Blender,Framer}",Junior,0
205,"AI & ML Engineer","Design","{Docker,Node.js,After Effects,React,GraphQL,Terraform}",Senior,7
206,"Data Scientist","Developer","{Kubernetes,TensorFlow,Python}",Mid,4
207,"Frontend Engineer","Engineering","{Terraform,Docker,Node.js,Sass}",Junior,0
208,"UI/UX Designer","Infrastructure","{Go,GraphQL,Photoshop,Data Bricks,Pandas,Terraform}",Lead,8
209,"Full Stack Engineer","Design","{Blender,Python,Kubernetes}",Senior,6
210,"Backend Developer","Engineering","{Tailwind CSS,AWS,Sass,React,Next.js,Kubernetes}",Mid,4
211,"Mobile Developer","Marketing","{PostgreSQL,Photoshop,Terraform,Framer}",Junior,0
212,"Mobile Developer","Product","{Go,React,Redis}",Junior,0
213,"AI & ML Engineer","Engineering","{Go,Vue.js,TensorFlow,Sass,Redis,Docker}",Senior,5
214,"Tester","Product","{TypeScript,Affinity,Docker,Next.js}",Senior,7
215,"UI/UX Designer","Design","{GSAP,GraphQL,After Effects,React,PostgreSQL,Tailwind CSS}",Senior,7
216,"Game Developer","Marketing","{Vue.js,TypeScript,Go,Sass,React}",Senior,7
217,"DevOps Specialist","Marketing","{Figma,Docker,React,PostgreSQL,After Effects}",Senior,7
218,"Site Reliability Engineer","Engineering","{Vue.js,Pandas,Redis}",Lead,8
219,"Site Reliability Engineer","Marketing","{Node.js,Tailwind CSS,Next.js,Framer}",Junior,0
220,"Game Developer","Data & AI","{Node.js,GSAP,Next.js,Redis}",Mid,2
221,"Data Scientist","Infrastructure","{GSAP,React,Node.js,TypeScript,PostgreSQL}",Lead,10
222,"UI/UX Designer","Engineering","{Affinity,Node.js,Sass,Next.js,React}",Mid,3
223,"Backend Developer","Developer","{GraphQL,After Effects,TypeScript}",Senior,5
224,"Game Developer","Marketing","{Kubernetes,Data Bricks,TypeScript,Docker,Figma}",Mid,2
225,"UI/UX Designer","Developer","{GraphQL,Data Bricks,Terraform,Photoshop,Go,GSAP}",Lead,8
226,"Site Reliability Engineer","Data & AI","{Pandas,GSAP,Python,Go}",Senior,7
227,"Site Reliability Engineer","Infrastructure","{Pandas,TypeScript,Redis}",Mid,2
228,"UI/UX Designer","Data & AI","{Next.js,Data Bricks,Python,Sass,After Effects,TypeScript}",Lead,9
229,"Backend Developer","Developer","{Kubernetes,React,Next.js,GraphQL}",Mid,3
230,"Site Reliability Engineer","Engineering","{Blender,Node.js,Next.js}",Senior,5
231,"AI & ML Engineer","Design","{Blender,AWS,Terraform,Next.js,Framer,Node.js}",Junior,0
232,"Game Developer","Product","{PostgreSQL,Tailwind CSS,Blender}",Lead,10
233,"Data Scientist","Design","{Redis,Kubernetes,Python,After Effects,Node.js,Framer}",Junior,1
234,"Full Stack Engineer","Developer","{Photoshop,Pandas,Node.js,Terraform,TensorFlow}",Junior,1
235,"Site Reliability Engineer","Infrastructure","{Photoshop,TypeScript,Affinity,Vue.js,Go}",Senior,6
236,"Backend Developer","Infrastructure","{Figma,Docker,Framer}",Lead,10
237,"Data Scientist","Data & AI","{Docker,TypeScript,Python,Node.js,PostgreSQL}",Lead,8
238,"Game Developer","Engineering","{Docker,Vue.js,TypeScript}",Mid,2
239,"Data Scientist","Engineering","{PostgreSQL,React,Photoshop}",Junior,0
240,"Frontend Engineer","Engineering","{TypeScript,AWS,Figma}",Lead,10
241,"Frontend Engineer","Data & AI","{GraphQL,Terraform,After Effects,Blender}",Mid,4
242,"Data Scientist","Engineering","{Terraform,AWS,React,Figma,Next.js}",Senior,5
243,"Mobile Developer","Engineering","{PostgreSQL,Framer,Figma,Next.js,Python,Blender}",Senior,7
244,"Game Developer","Design","{Python,TypeScript,Sass,Photoshop}",Mid,4
245,"UI/UX Designer","Product","{Tailwind CSS,Python,TensorFlow,Blender,Figma}",Lead,8
246,"Game Developer","Infrastructure","{Blender,Sass,Docker,Node.js,Terraform,Tailwind CSS}",Senior,5
247,"Full Stack Engineer","Product","{Kubernetes,Python,GSAP}",Mid,2
248,"Site Reliability Engineer","Design","{Terraform,Go,Python,React,After Effects}",Junior,1
249,"Site Reliability Engineer","Infrastructure","{React,Next.js,TypeScript,Vue.js,After Effects}",Lead,10
250,"Game Developer","Developer","{Framer,Figma,React,Tailwind CSS}",Lead,11
251,"Full Stack Engineer","Design","{Pandas,Terraform,GraphQL,Redis,TensorFlow}",Mid,2
252,"Backend Developer","Developer","{After Effects,Pandas,React}",Mid,3
253,"Tester","Developer","{React,Node.js,Kubernetes,TypeScript,Pandas,Sass}",Mid,3
254,"Backend Developer","Infrastructure","{TypeScript,Go,Photoshop,Vue.js,Python}",Mid,3
255,"Full Stack Engineer","Design","{Go,Data Bricks,Figma,React,Sass}",Mid,3
256,"Game Developer","Developer","{TypeScript,Python,GraphQL,Vue.js}",Senior,6
257,"Tester","Developer","{Sass,Next.js,Node.js}",Junior,1
258,"AI & ML Engineer","Design","{Sass,React,After Effects,Next.js,AWS,GSAP}",Senior,7
259,"Data Scientist","Design","{Kubernetes,Tailwind CSS,Pandas,AWS,Go}",Junior,0
260,"Site Reliability Engineer","Developer","{Affinity,After Effects,Vue.js,TensorFlow,Docker}",Lead,8
261,"Site Reliability Engineer","Design","{Terraform,Redis,GraphQL,Python,TypeScript}",Junior,0
262,"Site Reliability Engineer","Product","{GraphQL,Pandas,Tailwind CSS,PostgreSQL}",Mid,4
263,"UI/UX Designer","Developer","{Go,Terraform,Pandas}",Mid,4
264,"Data Scientist","Developer","{Blender,Pandas,After Effects,Tailwind CSS,Node.js}",Senior,7
265,"UI/UX Designer","Engineering","{Data Bricks,GraphQL,Docker,Node.js}",Lead,11
266,"Data Scientist","Marketing","{Pandas,Vue.js,React,Framer,Terraform}",Senior,6
267,"Backend Developer","Infrastructure","{Python,Node.js,Sass}",Junior,1
268,"Frontend Engineer","Product","{Tailwind CSS,Photoshop,GSAP,React}",Junior,1
269,"Tester","Design","{Pandas,Docker,Blender}",Lead,11
270,"Game Developer","Design","{Docker,GSAP,Blender,Kubernetes,Python,Terraform}",Senior,7
271,"AI & ML Engineer","Product","{Sass,Docker,Framer,Kubernetes}",Lead,10
272,"Tester","Developer","{TensorFlow,Redis,Next.js,PostgreSQL}",Junior,1
273,"AI & ML Engineer","Engineering","{Photoshop,React,Framer,Affinity,TensorFlow}",Mid,2
274,"DevOps Specialist","Marketing","{Terraform,Pandas,Python}",Junior,0
275,"Frontend Engineer","Design","{Node.js,Next.js,Terraform,PostgreSQL}",Mid,4
276,"Full Stack Engineer","Infrastructure","{TensorFlow,Sass,Kubernetes}",Mid,2
277,"UI/UX Designer","Design","{Vue.js,React,Kubernetes,Next.js,Photoshop}",Lead,9
278,"UI/UX Designer","Engineering","{GraphQL,Data Bricks,Node.js}",Lead,9
279,"Frontend Engineer","Marketing","{AWS,Next.js,GraphQL}",Senior,5
280,"Site Reliability Engineer","Design","{Figma,TensorFlow,Kubernetes,GraphQL}",Lead,11
281,"Full Stack Engineer","Design","{Next.js,Kubernetes,After Effects,Pandas,Photoshop,Tailwind CSS}",Lead,11
282,"Frontend Engineer","Data & AI","{Redis,Terraform,Blender,Affinity}",Junior,1
283,"Frontend Engineer","Infrastructure","{GraphQL,Photoshop,Vue.js}",Junior,0
284,"Backend Developer","Infrastructure","{PostgreSQL,TypeScript,After Effects,Redis,Affinity}",Mid,2
285,"Game Developer","Marketing","{Framer,Blender,GSAP,Figma,Vue.js}",Mid,4
286,"Frontend Engineer","Design","{Affinity,Data Bricks,GraphQL}",Junior,1
287,"UI/UX Designer","Product","{Tailwind CSS,React,Docker}",Senior,6
288,"Backend Developer","Developer","{GSAP,Kubernetes,React,Docker,Vue.js}",Lead,9
289,"Frontend Engineer","Developer","{Redis,React,Affinity,Figma,Next.js,Pandas}",Mid,2
290,"Mobile Developer","Infrastructure","{Kubernetes,Blender,Framer,Photoshop,React}",Lead,11
291,"Game Developer","Design","{TypeScript,React,Pandas,PostgreSQL,Affinity}",Junior,1
292,"Game Developer","Marketing","{TypeScript,Pandas,AWS}",Mid,2
293,"Site Reliability Engineer","Infrastructure","{React,Pandas,Docker,Kubernetes,TypeScript,Framer}",Junior,1
294,"Backend Developer","Data & AI","{React,Affinity,Next.js,Framer,Data Bricks}",Mid,3
295,"Backend Developer","Design","{Node.js,Vue.js,Affinity,Figma,Python,Next.js}",Junior,1
296,"UI/UX Designer","Developer","{React,Framer,GraphQL,Vue.js,Redis,Python}",Senior,6
297,"Game Developer","Engineering","{Tailwind CSS,PostgreSQL,Next.js,Docker,Data Bricks}",Senior,6
298,"Frontend Engineer","Developer","{Affinity,Data Bricks,Sass,Framer,PostgreSQL,Vue.js}",Lead,8
